,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,id_parcelle,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,surface_terrain,longitude,latitude
3279,2019-1377,2019-05-14,1,Vente,120000.0,,LES MALADIERES,B153,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0084,0,,,,,T,terres,8430.0,5.041876,46.302199
3280,2019-1377,2019-05-14,1,Vente,120000.0,,LES MALADIERES,B153,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0085,0,,,,,T,terres,1550.0,5.042253,46.301602
3281,2019-1377,2019-05-14,1,Vente,120000.0,,LES MALADIERES,B153,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0086,0,,,,,P,prés,12080.0,5.040434,46.302008
3282,2019-1377,2019-05-14,1,Vente,120000.0,,EN LYS,B152,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0091,0,,,,,T,terres,14570.0,5.042011,46.300999
3283,2019-1377,2019-05-14,1,Vente,120000.0,,LA LOUVE,B150,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0104,0,,,,,P,prés,3667.0,5.038985,46.297288
3284,2019-1377,2019-05-14,1,Vente,120000.0,,LA LOUVE,B150,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0105,0,,,,,P,prés,6712.0,5.038111,46.297541
3285,2019-1377,2019-05-14,1,Vente,120000.0,,LA LOUVE,B150,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0215,0,,,,,T,terres,915.0,5.040927,46.297929
3286,2019-1377,2019-05-14,1,Vente,120000.0,,LA LOUVE,B150,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0216,0,,,,,T,terres,174.0,5.041173,46.298468
3287,2019-1377,2019-05-14,1,Vente,120000.0,,BOIS DES LAYES,B022,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0219,0,,,,,T,terres,630.0,5.041384,46.298521
3288,2019-1377,2019-05-14,1,Vente,120000.0,,BOIS DES LAYES,B022,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AE0219,0,,,,,T,terres,630.0,5.041384,46.298521
3289,2019-1377,2019-05-14,1,Vente,120000.0,,GRANDE LAYE,B133,1340.0,01346,Saint-Didier-d'Aussiat,01,01346000AT0023,0,,,,,P,prés,37060.0,5.041946,46.298613
3290,2019-1377,2019-05-14,1,Vente,120000.0,,BOIS GUIGNON,B003,1340.0,01387,Saint-Sulpice,01,013870000A0080,0,,,,,T,terres,18934.0,5.04108,46.307159
3291,2019-1377,2019-05-14,1,Vente,120000.0,,CHAZEAUX,B009,1340.0,01387,Saint-Sulpice,01,013870000A0289,0,,,,,T,terres,20990.0,5.042868,46.306437
3293,2019-1379,2019-05-04,1,Vente,600.0,,VIGNE DE CONDAL,B188,1270.0,01108,Coligny,01,01108000ZB0213,0,,,,,P,prés,1788.0,5.346618,46.3984
3294,2019-1380,2019-05-17,3,Vente,5000.0,,LES ETANGS,B043,1270.0,01029,Beaupont,01,01029000ZC0268,0,,,,,S,sols,541.0,5.268612,46.43699
3295,2019-1380,2019-05-17,3,Vente,5000.0,1187.0,RTE ROBERT SCHUMAN,0190,1270.0,01029,Beaupont,01,01029000ZC0269,0,1.0,Maison,170.0,6.0,S,sols,5142.0,5.268502,46.436615
3296,2019-1380,2019-05-17,3,Vente,5000.0,,LES ETANGS,B043,1270.0,01029,Beaupont,01,01029000ZO0126,0,,,,,T,terres,62.0,5.268313,46.437136
3297,2019-1380,2019-05-17,3,Vente,5000.0,,LES ETANGS,B043,1270.0,01029,Beaupont,01,01029000ZO0127,0,,,,,T,terres,933.0,5.268266,46.436423
3298,2019-1380,2019-05-17,3,Vente,5000.0,,LES ETANGS,B043,1270.0,01029,Beaupont,01,01029000ZO0128,0,,,,,T,terres,525.0,5.268841,46.436735
3299,2019-1381,2019-05-15,1,Vente,155000.0,414.0,RTE DES SOURCES,0550,1560.0,01364,Saint-Jean-sur-Reyssouze,01,013640000A1025,0,1.0,Maison,80.0,2.0,S,sols,2034.0,5.075229,46.402301
