,id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
5596,2017-2183,2017-07-27,1,Vente,400.0,,,PRES BUISSONS,B375,1370.0,01426,Val-Revermont,01,,,01426137ZA0120,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,1780.0,5.3451,46.304935
5597,2017-2183,2017-07-27,1,Vente,400.0,,,PRES BUISSONS,B375,1370.0,01426,Val-Revermont,01,,,01426137ZA0125,,,,,,,,,,,,,0,,,,,BS,taillis sous futaie,,,534.0,5.344879,46.305308
5598,2017-2184,2017-07-27,1,Vente,101600.0,5255.0,,PRE DES FOLES,B216,1370.0,01426,Val-Revermont,01,,,01426000ZI0109,,,,,,,,,,,,,0,1.0,Maison,67.0,2.0,S,sols,,,1125.0,5.348031,46.282656
5599,2017-2185,2017-07-27,1,Vente,192500.0,5317.0,,EN FIN,B058,1370.0,01241,Meillonnas,01,,,01241000ZE0265,,,,,,,,,,,,,0,1.0,Maison,92.0,5.0,S,sols,,,788.0,5.348997,46.239748
5600,2017-2186,2017-07-29,1,Vente,81765.0,,,LES GOYARDS,B030,1250.0,01254,Montagnat,01,,,01254000AR0146,,,,,,,,,,,,,0,,,,,AB,terrains a bâtir,,,710.0,5.293773,46.168254
5601,2017-2187,2017-07-26,1,Vente,92000.0,5198.0,,LE PELOT,B195,1370.0,01426,Val-Revermont,01,,,014260000D0030,,,,,,,,,,,,,0,1.0,Maison,82.0,2.0,S,sols,,,108.0,5.367929,46.269567
5602,2017-2188,2017-07-21,1,Vente,214500.0,5367.0,,LE COSTAL,B014,1340.0,01229,Malafretaz,01,,,012290000B0869,,,,,,,,,,,,,0,1.0,Maison,124.0,5.0,S,sols,,,860.0,5.143355,46.32712
5603,2017-2188,2017-07-21,1,Vente,214500.0,,,LE COSTAL,B014,1340.0,01229,Malafretaz,01,,,012290000B0871,,,,,,,,,,,,,0,,,,,T,terres,,,1452.0,5.143057,46.327094
5604,2017-2188,2017-07-21,1,Vente,214500.0,,,LE COSTAL,B014,1340.0,01229,Malafretaz,01,,,012290000B0873,,,,,,,,,,,,,0,,,,,T,terres,,,26.0,5.142928,46.326833
5605,2017-2188,2017-07-21,1,Vente,214500.0,,,LE COSTAL,B014,1340.0,01229,Malafretaz,01,,,012290000B0875,,,,,,,,,,,,,0,,,,,T,terres,,,133.0,5.142792,46.327044
5606,2017-2189,2017-08-01,1,Vente,143850.0,5056.0,,CHE DU MONT MYON,0460,1370.0,01426,Val-Revermont,01,,,01426312AB0043,,,,,,,,,,,,,0,1.0,Maison,125.0,6.0,S,sols,,,1258.0,5.386805,46.323793
5607,2017-2190,2017-07-24,1,Vente,80000.0,,,LA MADELEINE NORD EST,B178,1750.0,01320,Replonges,01,,,013200000D2012,,,,,,,,,,,,,0,,,,,J,jardins,,,812.0,,
5608,2017-2190,2017-07-24,1,Vente,80000.0,5246.0,,LA MADELEINE NORD EST,B178,1750.0,01320,Replonges,01,,,013200000D2018,,,,,,,,,,,,,0,1.0,Maison,70.0,3.0,S,sols,,,103.0,,
5609,2017-2191,2017-07-27,1,Vente,73000.0,50.0,,RUE DOC NODET,1240,1000.0,01053,Bourg-en-Bresse,01,,,01053000AL0003,,,316,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.220652,46.193394
5610,2017-2191,2017-07-27,1,Vente,73000.0,50.0,,RUE DOC NODET,1240,1000.0,01053,Bourg-en-Bresse,01,,,01053000AL0003,,,22,,47,66.17,,,,,,,2,2.0,Appartement,68.0,3.0,,,,,,5.220652,46.193394
5611,2017-2192,2017-08-03,1,Vente,315000.0,26.0,,RUE JAYR,0100,1250.0,01072,Ceyzériat,01,,,01072000AL0318,,,,,,,,,,,,,0,1.0,Maison,153.0,7.0,S,sols,,,350.0,5.323491,46.177375
5612,2017-2193,2017-08-09,1,Vente,247000.0,9.0,,RUE PHILIBERT LE BEAU,3070,1000.0,01053,Bourg-en-Bresse,01,,,01053000AY0063,,,26,,27,,57,126.95,,,,,3,2.0,Appartement,236.0,7.0,,,,,,5.236452,46.199917
5613,2017-2193,2017-08-09,1,Vente,247000.0,9.0,,RUE PHILIBERT LE BEAU,3070,1000.0,01053,Bourg-en-Bresse,01,,,01053000AY0063,,,23,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.236452,46.199917
5614,2017-2194,2017-08-08,1,Vente,5826.0,,,LES CHANEES,B105,1851.0,01232,Marboz,01,,,01232000WV0081,,,,,,,,,,,,,0,,,,,P,prés,,,38840.0,5.232761,46.301418
5615,2017-2195,2017-08-02,1,Vente,75000.0,260.0,,RUE DE LA MAIRIE,0240,1960.0,01336,Saint-André-sur-Vieux-Jonc,01,,,013360000A0228,,,,,,,,,,,,,0,1.0,Maison,123.0,5.0,S,sols,,,475.0,5.146132,46.156957
5616,2017-2195,2017-08-02,1,Vente,75000.0,260.0,,RUE DE LA MAIRIE,0240,1960.0,01336,Saint-André-sur-Vieux-Jonc,01,,,013360000A0228,,,,,,,,,,,,,0,3.0,Dépendance,,0.0,S,sols,,,475.0,5.146132,46.156957
5617,2017-2196,2017-08-01,1,Vente,78000.0,5362.0,,LA MORANDIERE,B034,1240.0,01069,Certines,01,,,01069000ZC0233,,,19,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.266079,46.144534
5618,2017-2196,2017-08-01,1,Vente,78000.0,,,LA MORANDIERE,B034,1240.0,01069,Certines,01,,,01069000ZC0233,,,24,,51,,,,,,,,2,2.0,Appartement,58.0,2.0,,,,,,5.266079,46.144534
5619,2017-2197,2017-08-01,1,Vente,80000.0,89.0,,RUE DES HIRONDELLES,0160,1000.0,01344,Saint-Denis-lès-Bourg,01,,,01344000AH0077,,,66,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.206657,46.204559
5620,2017-2197,2017-08-01,1,Vente,80000.0,89.0,,RUE DES HIRONDELLES,0160,1000.0,01344,Saint-Denis-lès-Bourg,01,,,01344000AH0077,,,15,,24,,,,,,,,2,2.0,Appartement,77.0,4.0,,,,,,5.206657,46.204559
5621,2017-2198,2017-08-01,1,Vente,60000.0,86.0,,AV DE LYON,0260,1960.0,01289,Péronnas,01,,,01289000AC0047,,,37,,,,,,,,,,1,3.0,Dépendance,,0.0,,,,,,5.211411,46.191315
5622,2017-2198,2017-08-01,1,Vente,60000.0,86.0,,AV DE LYON,0260,1960.0,01289,Péronnas,01,,,01289000AC0047,,,17,72.05,7,,,,,,,,2,2.0,Appartement,70.0,4.0,,,,,,5.211411,46.191315
